firstName,lastName,email,phoneNumber,dateOfBirth,gender,currentAddress,customerSegment
Ashley,Pratama,ashley.pratama5502@demo.co,62819740885,12/2/1967,Female,"{""city"": ""Surabaya"", ""address"": ""Jl. Mayjen Sungkono No. 50""}",Professional
Amanda,Johnson,amanda.johnson5522@example.com,62818702056,5/25/1978,Female,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Magelang No. 3""}",Student
Lisa,Martinez,lisa.martinez1826@company.co.id,62866252090,6/7/1983,Female,"{""city"": ""Medan"", ""address"": ""Jl. Pemuda No. 258""}",Casual
Siti,Smith,siti.smith9949@company.co.id,62884000219,3/30/1974,Female,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Sudirman No. 51""}",SMB
Nadia,Hidayat,nadia.hidayat5296@corp.id,62815541679,4/28/1978,Female,"{""city"": ""Medan"", ""address"": ""Jl. Sisingamangaraja No. 70""}",Enterprise
James,Saputra,james.saputra5471@mail.com,62891048478,10/14/1989,Male,"{""city"": ""Bandung"", ""address"": ""Jl. Asia Afrika No. 123""}",Churn Risk
Rina,Hidayat,rina.hidayat7838@test.com,62869227889,2/2/1988,Female,"{""city"": ""Medan"", ""address"": ""Jl. Gatot Subroto No. 260""}",Enterprise
Emily,Hernandez,emily.hernandez4736@test.com,62881338962,12/8/1985,Female,"{""city"": ""Medan"", ""address"": ""Jl. Sisingamangaraja No. 256""}",Enterprise
William,Johnson,william.johnson6481@corp.id,62845903346,7/20/2004,Male,"{""city"": ""Medan"", ""address"": ""Jl. Sisingamangaraja No. 95""}",Churn Risk
William,Brown,william.brown9872@mail.com,62876449247,7/30/1982,Male,"{""city"": ""Medan"", ""address"": ""Jl. Pemuda No. 167""}",Enterprise
Wulan,Smith,wulan.smith2480@mail.com,62815883713,10/22/1980,Female,"{""city"": ""Bandung"", ""address"": ""Jl. Riau No. 224""}",Enterprise
Jane,Simanjuntak,jane.simanjuntak4389@mail.com,62893578359,4/15/2002,Female,"{""city"": ""Denpasar"", ""address"": ""Jl. Imam Bonjol No. 179""}",SMB
John,Brown,john.brown6732@corp.id,62897495592,4/23/2004,Male,"{""city"": ""Jakarta"", ""address"": ""Jl. Kuningan No. 202""}",Student
Amanda,Hernandez,amanda.hernandez7471@demo.co,62893418557,1/13/1992,Female,"{""city"": ""Medan"", ""address"": ""Jl. Gatot Subroto No. 30""}",SMB
Maya,Miller,maya.miller1168@company.co.id,62887050183,3/2/1994,Female,"{""city"": ""Yogyakarta"", ""address"": ""Jl. Sudirman No. 269""}",VIP
